gid;lon;lat;d_2000;d_2001;d_2002;d_2003;d_2004;d_2005;d_2006;d_2007;d_2008;d_2009;d_2010;d_2011;d_2012;d_2013;d_2014;d_2015;d_2016;d_2017;d_2018;d_2019;classe
1019;-45,39451;-14,421426;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1020;-43,617568;-4,629544;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1021;-44,1606;-8,94362;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1022;-52,404629;-13,802703;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1023;-45,629783;-13,449028;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1024;-50,353595;-10,643325;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1025;-49,156316;-10,830362;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1026;-49,999748;-10,87536;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1027;-48,649832;-12,01137;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1028;-47,714193;-10,618089;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1029;-48,841998;-14,677126;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1030;-43,789454;-13,883823;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1031;-45,240541;-8,483616;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1032;-47,896495;-8,533888;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1033;-45,512433;-12,012857;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1034;-50,094341;-10,896381;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1035;-46,628656;-7,699225;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1036;-53,824029;-21,109316;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1037;-46,951073;-6,574919;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1038;-46,516682;-11,201597;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1039;-46,128945;-6,504348;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;2000
1040;-47,184334;-7,943793;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1041;-55,462596;-20,018575;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1042;-47,572706;-5,782482;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1043;-44,114247;-17,155402;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1044;-47,688441;-6,926651;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Não Observado;2018
1045;-45,979259;-5,785293;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1046;-48,787738;-12,191283;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1047;-48,066797;-13,851503;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1048;-43,943926;-8,977037;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1049;-58,304796;-12,204476;Natural;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;2001
1050;-48,151282;-9,828641;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1051;-48,246241;-8,231055;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1052;-46,738415;-9,412785;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1053;-48,2582;-13,437816;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1054;-51,19874;-11,821187;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1055;-45,634271;-13,85009;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1056;-54,033768;-17,180605;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1057;-43,921289;-10,897728;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1058;-42,243287;-3,433413;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;2000
1059;-45,984306;-10,240416;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1060;-44,899286;-11,300354;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1061;-47,778139;-7,92301;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1062;-46,433912;-18,584537;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
1063;-52,68445;-14,193649;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1064;-47,025524;-9,35299;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1065;-45,353206;-13,846377;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1066;-47,066026;-10,348497;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1067;-45,7455;-9,239256;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural
1068;-47,534139;-14,890677;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;2018
1069;-45,877865;-12,001108;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;Antropico;Antropico;Antropico;Antropico;Antropico;2014
1070;-48,409145;-12,253094;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Natural;Antropico;2019
